#cam_angle[deg]	polar_radius[mm]
219.2500	17.0000000
219.5000	17.0000000
219.7500	17.0000000
220.0000	17.0000000
220.2500	17.0000000
220.5000	17.0000000
220.7500	17.0000000
221.0000	17.0000000
221.2500	17.0000000
221.5000	17.0000000
221.7500	17.0000000
222.0000	17.0000000
222.2500	17.0000000
222.5000	17.0000000
222.7500	17.0000000
223.0000	17.0000000
223.2500	17.0000000
223.5000	17.0000000
223.7500	17.0000000
224.0000	17.0000000
224.2500	17.0000000
224.5000	17.0000000
224.7500	17.0000000
225.0000	17.0000000
225.2500	17.0000000
225.5000	17.0000000
225.7500	17.0000000
226.0000	17.0000000
226.2500	17.0000000
226.5000	17.0000000
226.7500	17.0000000
227.0000	17.0000000
227.2500	17.0000000
227.5000	17.0000000
227.7500	17.0000000
228.0000	17.0000000
228.2500	17.0000000
228.5000	17.0000000
228.7500	17.0000000
229.0000	17.0000000
229.2500	17.0000000
229.5000	17.0000000
229.7500	17.0000000
230.0000	17.0000000
230.2500	17.0000000
230.5000	17.0000000
230.7500	17.0000000
231.0000	17.0000000
231.2500	17.0000000
231.5000	17.0000000
231.7500	17.0000000
232.0000	17.0000000
232.2500	17.0000000
232.5000	17.0000000
232.7500	17.0000000
233.0000	17.0000000
233.2500	17.0000000
233.5000	17.0000000
233.7500	17.0000000
234.0000	17.0000000
234.2500	17.0000000
234.5000	17.0000000
234.7500	17.0000000
235.0000	17.0000000
235.2500	17.0000000
235.5000	17.0000000
235.7500	17.0000000
236.0000	17.0000000
236.2500	17.0000000
236.5000	17.0000000
236.7500	17.0000000
237.0000	17.0000000
237.2500	17.0000000
237.5000	17.0000000
237.7500	17.0000000
238.0000	17.0000000
238.2500	17.0000000
238.5000	17.0000000
238.7500	17.0000000
239.0000	17.0000000
239.2500	17.0000000
239.5000	17.0000000
239.7500	17.0000000
240.0000	17.0000000
240.2500	17.0000000
240.5000	17.0000000
240.7500	17.0000000
241.0000	17.0000000
241.2500	17.0000000
241.5000	17.0000000
241.7500	17.0000000
242.0000	17.0000000
242.2500	17.0000000
242.5000	17.0000000
242.7500	17.0000000
243.0000	17.0000000
243.2500	17.0000000
243.5000	17.0000000
243.7500	17.0000000
244.0000	17.0000000
244.2500	17.0000000
244.5000	17.0000000
244.7500	17.0000000
245.0000	17.0000000
245.2500	17.0000000
245.5000	17.0000000
245.7500	17.0000000
246.0000	17.0000000
246.2500	17.0000000
246.5000	17.0000000
246.7500	17.0000000
247.0000	17.0000000
247.2500	17.0000000
247.5000	17.0000000
247.7500	17.0000000
248.0000	17.0000000
248.2500	17.0000000
248.5000	17.0000000
248.7500	17.0000000
249.0000	17.0000000
249.2500	17.0000000
249.5000	17.0000000
249.7500	17.0000000
250.0000	17.0000000
250.2500	17.0000000
250.5000	17.0000000
250.7500	17.0000000
251.0000	17.0000000
251.2500	17.0000000
251.5000	17.0000000
251.7500	17.0000000
252.0000	17.0000000
252.2500	17.0000000
252.5000	17.0000000
252.7500	17.0000000
253.0000	17.0000000
253.2500	17.0000000
253.5000	17.0000000
253.7500	17.0000000
254.0000	17.0000000
254.2500	17.0000000
254.5000	17.0000000
254.7500	17.0000000
255.0000	17.0000000
255.2500	17.0000000
255.5000	17.0000000
255.7500	17.0000000
256.0000	17.0000000
256.2500	17.0000000
256.5000	17.0000000
256.7500	17.0000000
257.0000	17.0000000
257.2500	17.0000000
257.5000	17.0000000
257.7500	17.0000000
258.0000	17.0000000
258.2500	17.0000000
258.5000	17.0000000
258.7500	17.0000000
259.0000	17.0000000
259.2500	17.0000000
259.5000	17.0000000
259.7500	17.0000000
260.0000	17.0000000
260.2500	17.0000000
260.5000	17.0000000
260.7500	17.0000000
261.0000	17.0000000
261.2500	17.0000000
261.5000	17.0000000
261.7500	17.0000000
262.0000	17.0000000
262.2500	17.0000000
262.5000	17.0000000
262.7500	17.0000000
263.0000	17.0000000
263.2500	17.0000000
263.5000	17.0000000
263.7500	17.0000000
264.0000	17.0000000
264.2500	17.0000000
264.5000	17.0000000
264.7500	17.0000000
265.0000	17.0000000
265.2500	17.0000000
265.5000	17.0000000
265.7500	17.0000000
266.0000	17.0000000
266.2500	17.0000000
266.5000	17.0000000
266.7500	17.0000000
267.0000	17.0000000
267.2500	17.0000000
267.5000	17.0000000
267.7500	17.0000000
268.0000	17.0000000
268.2500	17.0000000
268.5000	17.0000000
268.7500	17.0000000
269.0000	17.0000000
269.2500	17.0000000
269.5000	17.0000000
269.7500	17.0000000
270.0000	17.0000000
270.2500	17.0000000
270.5000	17.0000000
270.7500	17.0000000
271.0000	17.0000000
271.2500	17.0000000
271.5000	17.0000000
271.7500	17.0000000
272.0000	17.0000000
272.2500	17.0000000
272.5000	17.0000000
272.7500	17.0000000
273.0000	17.0000000
273.2500	17.0000000
273.5000	17.0000000
273.7500	17.0000000
274.0000	17.0000000
274.2500	17.0000000
274.5000	17.0000000
274.7500	17.0000000
275.0000	17.0000000
275.2500	17.0000000
275.5000	17.0000000
275.7500	17.0000000
276.0000	17.0000000
276.2500	17.0000000
276.5000	17.0000000
276.7500	17.0000000
277.0000	17.0000000
277.2500	17.0000000
277.5000	17.0000000
277.7500	17.0000000
278.0000	17.0000000
278.2500	17.0000000
