#cam_angle[deg]	polar_radius[mm]
305.0000	17.0000000
305.2500	17.0000000
305.5000	17.0000000
305.7500	17.0000000
306.0000	17.0000000
306.2500	17.0000000
306.5000	17.0000000
306.7500	17.0000000
307.0000	17.0000000
307.2500	17.0000000
307.5000	17.0000000
307.7500	17.0000000
308.0000	17.0000000
308.2500	17.0000000
308.5000	17.0000000
308.7500	17.0000000
309.0000	17.0000000
309.2500	17.0000000
309.5000	17.0000000
309.7500	17.0000000
310.0000	17.0000000
310.2500	17.0000000
310.5000	17.0000000
310.7500	17.0000000
311.0000	17.0000000
311.2500	17.0000000
311.5000	17.0000000
311.7500	17.0000000
312.0000	17.0000000
312.2500	17.0000000
312.5000	17.0000000
312.7500	17.0000000
313.0000	17.0000000
313.2500	17.0000000
313.5000	17.0000000
313.7500	17.0000000
314.0000	17.0000000
314.2500	17.0000000
314.5000	17.0000000
314.7500	17.0000000
315.0000	17.0000000
315.2500	17.0000000
315.5000	17.0000000
